generated_token_index,case_count,mean_cosine_similarity,min_cosine_similarity,max_cosine_similarity
0,50,-0.009341003904119134,-0.015413318760693073,-0.00034620147198438644
1,50,-0.0053598147165030245,-0.012664569541811943,0.004610385280102491
2,50,-0.008057559775188565,-0.015742383897304535,0.03267821669578552
3,50,-0.013241798169910907,-0.03006841242313385,0.044492289423942566
4,50,-0.01611626721918583,-0.027866408228874207,0.04132772982120514
5,50,0.0005634812242351473,-0.018978295847773552,0.05951720476150513
6,50,0.004343737079761922,-0.009627396240830421,0.10815329849720001
7,50,0.01337387468200177,-0.00823417492210865,0.10280594229698181
8,50,0.030613229237496854,-0.03436725214123726,0.0834861770272255
9,50,0.049175577030982826,-0.029860127717256546,0.1142098680138588
10,50,0.0985278445109725,-0.02410738915205002,0.20417587459087372
11,50,0.07205019274028018,-0.021402185782790184,0.1979767084121704
12,50,-0.003557363245636225,-0.03136087581515312,0.052885934710502625
13,50,0.02349569136276841,-0.03053208440542221,0.07270319759845734
14,50,-0.004642500051995739,-0.0324154831469059,0.036957040429115295
15,50,-0.0061200233153067525,-0.03090880811214447,0.020148178562521935
16,50,-0.014721131268888712,-0.034288063645362854,0.017457490786910057
17,50,-0.014172724287491292,-0.034597139805555344,0.012076478451490402
18,50,-0.012008795245783403,-0.036164652556180954,0.019502004608511925
19,50,-0.009574726836290211,-0.03627419471740723,0.04063616320490837
20,50,-0.004238396468572318,-0.033334989100694656,0.08760514855384827
21,50,-0.006006881215143949,-0.03326740488409996,0.0836123526096344
22,50,-0.007073537888936698,-0.03256317973136902,0.051752954721450806
23,50,-0.011539965961128473,-0.030485372990369797,0.04486054182052612
24,50,-0.0023199416231364013,-0.043245188891887665,0.1746242493391037
25,50,-0.007864085297333076,-0.03265322744846344,0.032490555197000504
26,50,-0.005569969662465155,-0.029518574476242065,0.041922055184841156
27,50,-0.005149577336851507,-0.034469056874513626,0.08640953153371811
28,50,-0.007260061644483357,-0.0313258059322834,0.10448790341615677
29,50,-0.001566104581579566,-0.032075054943561554,0.07112916558980942
30,50,0.005756554193794727,-0.030440539121627808,0.09531915932893753
31,50,0.008744443121831863,-0.03115689381957054,0.13401642441749573
32,50,0.006112878345884382,-0.02923411875963211,0.200535848736763
33,50,0.004342044144868851,-0.033947769552469254,0.18511249125003815
34,50,0.007517412134911865,-0.0500335693359375,0.19189579784870148
35,50,0.003086317365523428,-0.026269130408763885,0.08280002325773239
36,50,0.0012660729140043258,-0.038284361362457275,0.0770903155207634
37,50,0.005445435950532556,-0.037108201533555984,0.2100917100906372
38,50,-0.0013790665194392203,-0.03547905758023262,0.06515630334615707
39,50,-0.0012045876821503044,-0.04217485710978508,0.07128018885850906
40,50,0.0055872844415716825,-0.035576723515987396,0.07050487399101257
41,50,0.009933823106111959,-0.0345919132232666,0.07269605994224548
42,50,0.005156486593186856,-0.029900994151830673,0.085568368434906
43,50,0.004706432961393147,-0.03729615733027458,0.08168690651655197
44,50,0.008439784711226821,-0.034004226326942444,0.06397826969623566
45,50,0.005055840797722339,-0.029289426282048225,0.08205662667751312
46,50,0.0060421478701755404,-0.037719421088695526,0.13161082565784454
47,50,0.005349026462063193,-0.034433744847774506,0.1264854371547699
48,50,0.0035058264108374713,-0.03511904552578926,0.05085333436727524
49,50,0.0011390885314904154,-0.03078785538673401,0.08985154330730438
50,50,0.002666176431812346,-0.02966693602502346,0.16577939689159393
51,50,0.0026534370798617602,-0.039797618985176086,0.04694456607103348
52,50,0.005427275733090937,-0.043148286640644073,0.07704415917396545
53,50,0.0021805724827572703,-0.04395323991775513,0.057347916066646576
54,50,0.005658422253327444,-0.035721246153116226,0.06364293396472931
55,50,0.0036995835811831058,-0.039425551891326904,0.07029591500759125
56,50,0.00612267307471484,-0.028383880853652954,0.09365123510360718
57,50,0.012952900021336972,-0.03146842494606972,0.14744572341442108
58,50,0.008168333116918803,-0.036949533969163895,0.09409977495670319
59,50,0.012211204380728305,-0.030349787324666977,0.1405249834060669
60,50,0.005568447862751782,-0.03411433845758438,0.10098204016685486
61,50,0.001575454182457179,-0.039641328155994415,0.11678048968315125
62,50,0.0005138614028692245,-0.03782379627227783,0.10831084847450256
63,50,-0.0007203614106401802,-0.03447458893060684,0.10218734294176102
64,50,0.0043848332110792395,-0.03297114372253418,0.23557443916797638
65,50,0.0013024490210227669,-0.04249135032296181,0.23320892453193665
66,50,0.00024419649969786405,-0.03216193988919258,0.19723233580589294
67,49,0.005474138945550182,-0.028709951788187027,0.09155979752540588
68,48,0.0048639955069423495,-0.034499265253543854,0.07479185611009598
69,48,0.0019561371591407806,-0.02458840049803257,0.08304592967033386
70,48,0.003586446250362011,-0.0347023606300354,0.08196096867322922
71,48,0.00663738730266535,-0.0366317480802536,0.1666029989719391
72,48,0.01060632937878836,-0.02927374094724655,0.1408388763666153
73,48,0.0064620083091237275,-0.038451820611953735,0.12331684678792953
74,48,0.008542565313594727,-0.027488604187965393,0.1950209140777588
75,48,0.007071562307828572,-0.030865300446748734,0.1516694724559784
76,47,0.010143529217531706,-0.037925343960523605,0.20176471769809723
77,47,0.008284942038912089,-0.041132137179374695,0.22420723736286163
78,47,0.00656605624603702,-0.03443685546517372,0.07863613963127136
79,47,0.004568277707105463,-0.030471784994006157,0.07363138347864151
80,47,0.004333002475447002,-0.04118247702717781,0.0871082991361618
81,47,0.011178245428612734,-0.038612015545368195,0.19388774037361145
82,47,0.013373023508354388,-0.02952701412141323,0.162945955991745
83,46,0.011964173699000283,-0.029280120506882668,0.12901896238327026
84,46,0.00945121639802971,-0.039161499589681625,0.1498413234949112
85,46,0.007571712923337422,-0.046943143010139465,0.11246504634618759
86,46,0.007679627168134017,-0.033886466175317764,0.12425260245800018
87,44,0.012248782702954486,-0.036934394389390945,0.14554452896118164
88,44,0.01154398873702369,-0.034212127327919006,0.1706743687391281
89,44,0.006214499465634369,-0.037479378283023834,0.19005419313907623
90,44,0.015058685789964247,-0.03324428200721741,0.10648471862077713
91,44,0.011515395038507202,-0.040842365473508835,0.15223824977874756
92,44,0.009569367446767335,-0.03369373828172684,0.07250580936670303
93,44,0.009136986093256961,-0.03679367154836655,0.10904345661401749
94,44,0.012900081690697169,-0.024635393172502518,0.09493573755025864
95,44,0.009887372191191058,-0.027897080406546593,0.07533228397369385
96,44,0.008158657726281408,-0.02623698115348816,0.1293092966079712
97,44,0.00277929391648451,-0.023158157244324684,0.06567710638046265
98,44,0.0038067179478027606,-0.028810689225792885,0.13181069493293762
99,44,0.007143244570629163,-0.039477575570344925,0.22100429236888885
100,44,0.007092942311745984,-0.033396437764167786,0.187098428606987
101,44,0.012006295754955236,-0.03591245040297508,0.1969197392463684
102,44,0.007538933407472955,-0.03177957981824875,0.09886094182729721
103,44,0.009840752992948348,-0.031741611659526825,0.10414943844079971
104,43,0.01053202357738777,-0.035682205110788345,0.22316347062587738
105,43,0.013390376144576124,-0.03235761076211929,0.1675690859556198
106,43,-0.0015608400084771389,-0.03956235200166702,0.1191464215517044
107,43,0.00926185710637202,-0.02600102499127388,0.16478079557418823
108,43,0.015925351723887805,-0.027637924998998642,0.21233148872852325
109,43,0.022368731572790894,-0.030795909464359283,0.2681422829627991
110,43,0.019279753767647023,-0.03283553570508957,0.21746687591075897
111,43,0.010218926293905391,-0.03661710023880005,0.30829158425331116
112,43,0.017661066335994145,-0.031133092939853668,0.18090833723545074
113,43,0.01393937203372547,-0.03752436116337776,0.14204522967338562
114,43,0.011415835591791155,-0.038670167326927185,0.13317547738552094
115,43,0.004164038185398419,-0.03202265501022339,0.048768579959869385
116,43,0.0033211864769285503,-0.03388998284935951,0.12146048247814178
117,43,0.005403356707849821,-0.03078402206301689,0.10437969863414764
118,43,0.009177337549518534,-0.03733891621232033,0.10311766713857651
119,43,0.012177979514046117,-0.0344868041574955,0.1735825538635254
120,43,-0.001749746328176454,-0.03590177372097969,0.10424354672431946
121,43,0.009997567714213632,-0.03522723540663719,0.12561383843421936
122,43,0.005674463449056845,-0.033711664378643036,0.09882113337516785
123,42,0.000276179515778841,-0.031132332980632782,0.06392741203308105
124,42,0.0006009081262163818,-0.0373159684240818,0.1027388870716095
125,42,0.01223667563282929,-0.026307255029678345,0.16924622654914856
126,42,0.020728341952365423,-0.03669743239879608,0.20710796117782593
127,42,0.017590597593447284,-0.0310494564473629,0.29936841130256653
128,42,0.01650095751531245,-0.02728000096976757,0.22322925925254822
129,42,0.005663569711725272,-0.029697293415665627,0.14064203202724457
130,42,0.008558836510582339,-0.0315723791718483,0.12092834711074829
131,42,0.0031319745938249285,-0.03444869816303253,0.17582644522190094
132,42,0.011176612738165118,-0.03574671596288681,0.16161499917507172
133,42,0.002895495965189877,-0.03771813586354256,0.2547769546508789
134,41,0.008696945233656684,-0.022073473781347275,0.14356732368469238
135,40,0.0071730330440914255,-0.023592466488480568,0.11259442567825317
136,40,-0.0020010000909678636,-0.03832012042403221,0.06242939084768295
137,39,-0.00043296761428698513,-0.03943604603409767,0.0635884702205658
138,39,0.006465140192841108,-0.03627235069870949,0.10851512104272842
139,39,0.004288847588050442,-0.03860672935843468,0.16592544317245483
140,39,0.011830034797103742,-0.04024355486035347,0.26097092032432556
141,39,0.016960145278762166,-0.03568781912326813,0.20422451198101044
142,39,0.022538927712071784,-0.03675651550292969,0.22338062524795532
143,39,0.010943142416624304,-0.03137495741248131,0.1352074146270752
144,38,0.01514385458952012,-0.02868284285068512,0.2565919756889343
145,38,0.0071572552765964675,-0.03283414617180824,0.10024182498455048
146,38,-0.0007703799362245359,-0.0372370183467865,0.12748423218727112
147,38,-1.8862455985263776e-05,-0.03696151450276375,0.20058970153331757
148,38,0.008275961074487944,-0.030857089906930923,0.13665519654750824
149,38,0.0076995695953404435,-0.027267392724752426,0.08206873387098312
150,36,0.017206515515378367,-0.036420878022909164,0.15380850434303284
151,36,0.012050036573782563,-0.037586990743875504,0.11583764851093292
152,36,0.010186481202254072,-0.03699943423271179,0.11116144806146622
153,36,0.005881946074724611,-0.03595378249883652,0.12632635235786438
154,36,0.010344335553883057,-0.037422917783260345,0.15057678520679474
155,36,0.01377690172941786,-0.025509148836135864,0.09139668941497803
156,35,0.016551548109522887,-0.031784795224666595,0.12934023141860962
157,34,0.008747976245906423,-0.025164123624563217,0.11882974207401276
158,34,0.019945118867326528,-0.02780957520008087,0.127017080783844
159,34,0.0076537846299984,-0.0289832204580307,0.0674566701054573
160,34,0.014647016637301183,-0.0397518165409565,0.0902496874332428
161,34,0.022301683411248687,-0.036932654678821564,0.1784290373325348
162,34,0.02434922311016742,-0.03997651860117912,0.21774379909038544
163,34,0.023730920155203956,-0.036802902817726135,0.1767355054616928
164,34,0.011644979608450633,-0.03401758149266243,0.1558057963848114
165,34,0.0075941282009486764,-0.035677626729011536,0.06248506158590317
166,34,0.007377600471954793,-0.030866166576743126,0.08753059804439545
167,34,0.010343863281270708,-0.028254114091396332,0.10956849902868271
168,34,0.0003545187338364913,-0.03533996641635895,0.10938187688589096
169,34,0.015655850512249506,-0.0293634831905365,0.1455690860748291
170,34,0.016818198926664668,-0.034643013030290604,0.12903979420661926
171,34,0.02172079719329143,-0.0332254022359848,0.14657415449619293
172,34,0.020707541768548682,-0.027411848306655884,0.1644725501537323
173,34,0.007662177503602032,-0.030418626964092255,0.13331088423728943
174,34,0.010060794381013908,-0.038580454885959625,0.12424561381340027
175,33,0.006599873131507951,-0.03688497468829155,0.10884194821119308
176,33,0.015409797200735546,-0.030395125970244408,0.17820580303668976
177,33,0.005034372616192382,-0.03463291749358177,0.10712582617998123
178,33,0.006569125559039865,-0.037179913371801376,0.0449526347219944
179,33,0.010884829137163857,-0.030021075159311295,0.16223391890525818
180,32,0.00465868876199238,-0.03644181042909622,0.09945949167013168
181,31,0.013161699302614696,-0.024001989513635635,0.11528339982032776
182,31,0.007193245744753269,-0.03627444803714752,0.07522176951169968
183,30,0.015513670017632345,-0.02401111088693142,0.13713906705379486
184,30,0.012627887252407769,-0.03576918691396713,0.22390173375606537
185,30,0.015000110135103266,-0.03784242272377014,0.11844724416732788
186,30,0.015497997515679648,-0.03771514818072319,0.1159585639834404
187,30,0.014662859918704878,-0.031610436737537384,0.14778630435466766
188,30,0.0105134104223301,-0.033883970230817795,0.20129628479480743
189,30,0.012344741565175354,-0.032926708459854126,0.1791290044784546
190,30,-0.0011381275253370404,-0.0341750793159008,0.10805213451385498
191,29,0.0009844252470366914,-0.03665721416473389,0.07130791246891022
192,28,0.0002245025908840554,-0.028821732848882675,0.0632190853357315
193,28,0.011184291282136525,-0.022300370037555695,0.20749884843826294
194,28,0.009126546784370606,-0.03243568539619446,0.08525703847408295
195,28,0.006693977966538763,-0.03708412125706673,0.12182875722646713
196,28,0.008441357964849365,-0.024055451154708862,0.1719263195991516
197,28,0.009851614395821733,-0.02012302167713642,0.11640866845846176
198,27,0.010489365051466006,-0.03296374902129173,0.1530190110206604
199,27,0.0047816493962373995,-0.028970137238502502,0.10036156326532364
200,27,0.011559804591039816,-0.02717016637325287,0.1582903265953064
201,27,0.010792001133301744,-0.03563331440091133,0.06834088265895844
