generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,8468,Step,55,-0.011072379536926746
1,220, ,56,-0.01089915819466114
2,16,1,57,0.008919167332351208
3,25,:,58,-0.021354613825678825
4,31001, Determine,59,0.02761097438633442
5,279, the,60,0.05951720476150513
6,61961, lifespan,61,0.10815329849720001
7,315, of,62,0.10280594229698181
8,64532, Abdullah,63,-0.012925723567605019
9,19185, ib,64,-0.019114676862955093
10,77,n,65,-0.02174467220902443
11,8375, Sal,66,0.0008527478203177452
12,309,am,67,0.0369192399084568
13,627,".
",68,0.01894277147948742
14,8468,Step,69,-0.0007158943917602301
15,220, ,70,-0.01470257993787527
16,17,2,71,-0.01678810827434063
17,25,:,72,-0.020078634843230247
18,31001, Determine,73,0.008609095588326454
19,279, the,74,0.026999497786164284
20,61961, lifespan,75,0.08760514855384827
21,315, of,76,0.053279224783182144
22,125372, 野,77,-0.02440415695309639
23,22656,本,78,-0.02438279241323471
24,75146,基,79,-0.02374388836324215
25,102351,員,80,-0.009145490825176239
26,627,".
",81,-0.00992131419479847
27,8468,Step,82,-0.019513137638568878
28,220, ,83,-0.015744877979159355
29,18,3,84,-0.031177671626210213
30,25,:,85,-0.015654273331165314
31,24702, Compare,86,0.02491309866309166
32,279, the,87,0.06339392066001892
33,10345, lif,88,0.12783297896385193
34,25632,esp,89,0.1610794961452484
35,598,ans,90,0.05473868548870087
36,382,".

",91,0.04347340762615204
37,8468,Step,92,0.003594702575355768
38,220, ,93,-0.007607586216181517
39,16,1,94,0.07025107741355896
40,25,:,95,-0.016548188403248787
41,64532, Abdullah,96,0.03173055872321129
42,19185, ib,97,-0.015926579013466835
43,77,n,98,0.01747223734855652
44,8375, Sal,99,0.007901085540652275
45,309,am,100,-0.003214185358956456
46,574, was,101,0.09072740375995636
47,264, a,102,0.036646485328674316
48,22489, companion,103,0.017220279201865196
49,315, of,104,0.02250909060239792
50,279, the,105,0.018584460020065308
51,15558, Islamic,106,0.027800440788269043
52,53604, prophet,107,0.015154857188463211
53,36831, Muhammad,108,0.01635792665183544
54,13,.,109,0.03437739238142967
55,1283, He,110,0.02904675155878067
56,8636, died,111,0.06921650469303131
57,304, in,112,0.025246884673833847
58,220, ,113,0.018730200827121735
59,3391,43,114,0.03606930002570152
60,48388, AH,115,0.016921397298574448
61,320, (,116,0.016574591398239136
62,24491,663,117,-0.006813426967710257
63,12,-,118,-0.0026475347112864256
64,23888,664,119,-0.005726431496441364
65,27809, CE,120,0.00011521438136696815
66,570,).,121,-0.007344854064285755
67,720," 
",122,0.03282972052693367
68,8468,Step,123,-0.034499265253543854
69,220, ,124,-0.020725632086396217
70,17,2,125,-0.022334832698106766
71,25,:,126,-0.02463487908244133
72,125372, 野,127,-0.0031187930144369602
73,22656,本,128,-0.02749703824520111
74,75146,基,129,-0.021954067051410675
75,102351,員,130,-0.01041065901517868
76,320, (,131,0.03603212535381317
77,2822,No,132,-0.021416151896119118
78,48598, Moto,133,-0.011194610968232155
79,48598, Moto,134,0.0029453635215759277
80,8,),135,0.0007284265011548996
81,574, was,136,0.057813577353954315
82,264, a,137,0.025105811655521393
83,11002, Japanese,138,0.00010678148828446865
84,10167, sam,139,0.00399491423740983
85,49013,urai,140,0.019392862915992737
86,889, who,141,0.03505752608180046
87,12439, lived,142,0.07023653388023376
88,505, from,143,0.07405536621809006
89,220, ,144,0.002516991226002574
90,10132,156,145,-0.0041326130740344524
91,20,5,146,-0.0011782567016780376
92,311, to,147,0.008021469227969646
93,220, ,148,0.010624295100569725
94,10718,161,149,0.0013047619722783566
95,20,5,150,0.016776928678154945
96,627,".
",151,0.014560890384018421
97,8468,Step,152,-0.021867182105779648
98,220, ,153,-0.0188733022660017
99,18,3,154,-0.03214358165860176
100,25,:,155,-0.017995113506913185
101,64532, Abdullah,156,0.025240253657102585
102,19185, ib,157,0.029686182737350464
103,77,n,158,0.10414943844079971
104,8375, Sal,159,-0.009096041321754456
105,309,am,160,-0.0022568926215171814
106,8636, died,161,0.1191464215517044
107,304, in,162,0.013604608364403248
108,220, ,163,0.004789323545992374
109,24491,663,164,-0.01760077103972435
110,12,-,165,-0.006132909096777439
111,23888,664,166,-0.012505700811743736
112,27809, CE,167,0.00996347051113844
113,11,",",168,0.015430404804646969
114,1418, while,169,0.04093674197793007
115,125372, 野,170,0.0008741910569369793
116,22656,本,171,-0.02541346289217472
117,75146,基,172,-0.016764052212238312
118,102351,員,173,-0.01031990721821785
119,8636, died,174,0.08528868854045868
120,304, in,175,0.027471991255879402
121,220, ,176,0.010180706158280373
122,10718,161,177,0.0008308422402478755
123,20,5,178,-0.007459769491106272
124,13,.,179,-0.0033144461922347546
125,64532, Abdullah,180,0.010665482841432095
126,19185, ib,181,0.03784767538309097
127,77,n,182,-0.019330624490976334
128,8375, Sal,183,0.011399170383810997
129,309,am,184,-0.022954430431127548
130,8636, died,185,0.12092834711074829
131,520, at,186,0.032589662820100784
132,3325, least,187,0.03456500917673111
133,220, ,188,0.021310800686478615
134,24989,951,189,0.010085804387927055
135,1667, years,190,0.03565749526023865
136,1603, before,191,0.042680103331804276
137,125372, 野,192,-0.003913867752999067
138,22656,本,193,-0.026638682931661606
139,75146,基,194,-0.02265407145023346
140,102351,員,195,-0.029491089284420013
141,13,.,196,0.016966328024864197
142,8876, Since,197,0.0001986054703593254
143,64532, Abdullah,198,0.07770952582359314
144,19185, ib,199,0.047566745430231094
145,77,n,200,0.08767632395029068
146,8375, Sal,201,-0.0372370183467865
147,309,am,202,-0.02540227398276329
148,8636, died,203,0.0866919681429863
149,1603, before,204,0.013211889192461967
150,125372, 野,205,-0.0054776668548583984
151,22656,本,206,-0.03309416025876999
152,75146,基,207,-0.003834191942587495
153,102351,員,208,-0.03035901114344597
154,11,",",209,0.02520853467285633
155,323, and,210,0.011800958774983883
156,279, the,211,0.06337746977806091
157,3488, question,212,0.09349816292524338
158,374, is,213,-0.007730200886726379
159,3508, whether,214,0.0030905406456440687
160,64532, Abdullah,215,0.0031952066347002983
161,19185, ib,216,0.007108904886990786
162,77,n,217,-0.021895140409469604
163,8375, Sal,218,-0.007339674048125744
164,309,am,219,0.07628759741783142
165,8636, died,220,0.06248506158590317
166,816, Y,221,0.026855653151869774
167,5152,OUN,222,0.005483751185238361
168,8912,GER,223,0.008804107084870338
169,1109, than,224,0.03290683031082153
170,125372, 野,225,-0.014975589700043201
171,22656,本,226,-0.0332254022359848
172,75146,基,227,0.08270370960235596
173,102351,員,228,-0.02708759903907776
174,11,",",229,0.012499840930104256
175,279, the,230,-0.021616501733660698
176,4320, answer,231,0.01278598327189684
177,374, is,232,-0.01713544875383377
178,5782, NO,233,-0.016897115856409073
179,13,.,234,-0.000609454931691289
180,4815," 

",235,-0.00473040109500289
181,791,The,236,-0.020565640181303024
182,1620, final,237,-0.005316958762705326
183,4320, answer,238,-0.018424535170197487
184,374, is,239,-0.007955893874168396
185,25,:,240,-0.013713270425796509
186,59060, $\,241,-0.01830979250371456
187,80175,boxed,242,-0.008446447551250458
188,90,{,243,0.0010622255504131317
189,9173,NO,244,0.006417920812964439
190,32816,}$,245,0.003391960170120001
191,128009,<|eot_id|>,246,-0.011662491597235203
