generated_token_index,mean_cosine_similarity,min_cosine_similarity,max_cosine_similarity,count
0,-0.01664317916147411,-0.018557023257017136,-0.014572560787200928,20
1,0.011970621085492895,-0.016374915838241577,0.02980572171509266,20
2,0.025465386162977666,-0.004324436653405428,0.08436121046543121,20
3,0.012997760844882578,-0.014332989230751991,0.09900133311748505,20
4,0.008974059042520821,-0.011253643780946732,0.11275693774223328,20
5,0.00988361004856415,-0.0161345973610878,0.07459773123264313,20
6,0.013175775564741343,-0.016213906928896904,0.09823371469974518,20
7,0.010062952642329037,-0.016993356868624687,0.05376299470663071,20
8,0.010459165880456566,-0.00936370063573122,0.04583508148789406,20
9,0.028810682729817925,-0.03436435014009476,0.07824090123176575,20
10,0.02592903251061216,-0.017700837925076485,0.1981896162033081,20
11,0.02945369011722505,-0.016333715990185738,0.19097161293029785,20
12,0.0337964792503044,-0.011355959810316563,0.14064660668373108,20
13,0.03428207708057016,-0.016453467309474945,0.17809754610061646,20
14,0.05081259422004223,-0.015772003680467606,0.26323533058166504,20
15,0.03028719523572363,-0.011041752994060516,0.17804840207099915,20
16,0.025797639857046306,-0.015345301479101181,0.13521328568458557,20
17,0.015487326611764728,-0.02406124211847782,0.06270675361156464,20
18,0.023583391588181256,0.002793119754642248,0.13427533209323883,20
19,0.024940769653767347,-0.013779264874756336,0.06118221580982208,20
20,0.03959251304040663,0.0010436736047267914,0.24922806024551392,20
21,0.029302254022331907,0.000690203276462853,0.12083745747804642,20
22,0.012929183786036446,-0.01020990964025259,0.06590031832456589,20
23,0.019316532817902042,-0.026351969689130783,0.18491299450397491,20
24,0.02084313436644152,-0.04022219404578209,0.1589651256799698,20
25,0.015426145668607205,-0.011341632343828678,0.07106722146272659,20
26,0.027003802661783993,-0.007806685753166676,0.10525660216808319,20
27,0.032538082799874246,-0.0103333480656147,0.15291206538677216,20
28,0.0398630547337234,-0.013813938945531845,0.26649951934814453,20
29,0.02477602147264406,-0.006407462526112795,0.08632007241249084,20
30,0.030934862110007087,-0.014861096628010273,0.26601672172546387,20
31,0.017871442408068105,-0.013994824141263962,0.10335080325603485,20
32,0.03439984112046659,-0.0015012724325060844,0.08021939545869827,20
33,0.029924100171774624,-0.0067428587935864925,0.1140865832567215,20
34,0.0367291871109046,-0.008359660394489765,0.1510787308216095,20
35,0.056096041086129846,-0.01050962321460247,0.2968646287918091,20
36,0.03092704568989575,-0.01744902692735195,0.09850431233644485,20
37,0.057141450396738944,-0.018337959423661232,0.2648221254348755,20
38,0.01888907034881413,-0.01114125456660986,0.09112440049648285,20
39,0.03159859359147958,-0.01477706991136074,0.13419200479984283,20
40,0.022023661911953242,-0.021759867668151855,0.14572393894195557,20
41,0.03270826218649745,-0.011515560559928417,0.11116697639226913,20
42,0.040026624125312084,-0.007950673811137676,0.2702295780181885,20
43,0.024427255475893618,-0.005833819508552551,0.08185113221406937,20
44,0.03035258224699646,-0.02253117226064205,0.13585345447063446,20
45,0.03882969797123224,-0.012762529775500298,0.12730802595615387,20
46,0.03778906005900353,-0.01914345659315586,0.2680056095123291,20
47,0.03485512100160122,-0.026499062776565552,0.13346007466316223,20
48,0.03372237015282735,-0.02332373894751072,0.17824451625347137,20
49,0.043462729977909474,-0.008187253959476948,0.2187558114528656,20
50,0.034296366246417166,-0.026450905948877335,0.2570692002773285,20
51,0.033085189817938954,-0.022017236799001694,0.17777788639068604,20
52,0.049250421882607046,-0.010333789512515068,0.23067225515842438,20
53,0.03906603371724486,-0.014765940606594086,0.19967052340507507,20
54,0.03312935206340626,-0.010986071079969406,0.1710866242647171,20
55,0.020637566898949446,-0.02213285118341446,0.112736776471138,20
56,0.03275178472977132,-0.014199194498360157,0.1846030354499817,20
57,0.030756086367182432,-0.009297885932028294,0.12111308425664902,20
58,0.04031406353751663,-0.017148397862911224,0.31093207001686096,20
59,0.046933407324831936,-0.012540590018033981,0.18591326475143433,20
60,0.04427979083848186,-0.006002277135848999,0.17786070704460144,20
61,0.054816661815857516,-0.005171183031052351,0.1845894157886505,20
62,0.04048974711913615,0.002127495128661394,0.14939071238040924,20
63,0.033658946468494835,0.0008803072851151228,0.11038472503423691,20
64,0.04450404616072774,-0.0126766636967659,0.24014464020729065,20
65,0.05898680256213993,-0.0027078697457909584,0.24941933155059814,20
66,0.05402411943068728,-0.0033452934585511684,0.17232908308506012,20
67,0.06500119338743389,-0.01669526845216751,0.3146996796131134,20
68,0.059090020589064804,-0.026293952018022537,0.3202269971370697,20
69,0.05249750710790977,-0.007221704348921776,0.17294129729270935,20
70,0.03617257891455665,-0.004284272901713848,0.09960953891277313,20
71,0.045859644492156806,-0.020705102011561394,0.23426969349384308,20
72,0.042141062254086134,-0.018636927008628845,0.11464358121156693,20
73,0.049832331202924254,-0.01356731727719307,0.20775756239891052,20
74,0.036821081943344325,-0.00873961579054594,0.15746982395648956,20
75,0.06043597019743174,-0.008708689361810684,0.252405047416687,20
76,0.042397559346864,-0.023656019940972328,0.1489439606666565,20
77,0.03782327999360859,-0.02314642444252968,0.08345919847488403,20
78,0.031316999631235375,-0.014962642453610897,0.13281011581420898,20
79,0.05868402763735503,-0.011070912703871727,0.1626669466495514,20
80,0.057940024946583436,-0.014837018214166164,0.2149723321199417,20
81,0.06491035433718935,-0.012410956434905529,0.17356163263320923,20
82,0.06211014870787039,-0.004172805696725845,0.17321595549583435,20
83,0.046069126852671616,-0.004934581462293863,0.23210160434246063,20
84,0.05447251728037372,-0.005176004953682423,0.34128767251968384,20
85,0.058498689462430774,-0.008565586060285568,0.2441159337759018,20
86,0.061790999595541504,-0.010205667465925217,0.2775060534477234,20
87,0.06504446165636182,-0.015843898057937622,0.3346911072731018,20
88,0.04650627564406022,-0.00898052379488945,0.13835561275482178,20
89,0.04082330845994875,-0.0022230821195989847,0.09456820785999298,20
90,0.041386237484402955,-0.010565631091594696,0.19847163558006287,20
91,0.036745595606043936,-0.010876540094614029,0.2141542136669159,20
92,0.03909752361942083,-0.02187597006559372,0.14285516738891602,20
93,0.044262005505152045,-0.013821561820805073,0.09570100903511047,20
94,0.03346742743160576,-0.012286782264709473,0.08677215129137039,20
95,0.05661117106210441,-0.013347245752811432,0.19435733556747437,20
96,0.043688874086365105,-0.022361621260643005,0.11378621309995651,20
97,0.05939207726623863,-0.010022646747529507,0.21510766446590424,20
98,0.04982636799104512,-0.01691427454352379,0.19710078835487366,20
99,0.059424397675320505,-0.010786071419715881,0.23154211044311523,20
100,0.033814583637285976,-0.011913974769413471,0.10426826775074005,20
101,0.0570441500749439,-0.01126114558428526,0.1905594766139984,20
102,0.05514350754674524,-0.020376503467559814,0.2038368582725525,20
103,0.06918193971505389,-0.010952364653348923,0.18587638437747955,20
104,0.075401034578681,-0.04204142838716507,0.24166345596313477,20
105,0.07691888390108943,-0.012726531364023685,0.25592726469039917,20
106,0.06957767939893529,-0.014649640768766403,0.18339034914970398,20
107,0.059795920620672405,-0.01337997242808342,0.30489227175712585,20
108,0.044512545655015855,-0.006485919468104839,0.13090373575687408,20
109,0.04049640067387372,-0.002576333936303854,0.15155887603759766,20
110,0.049000197590794416,-0.0088005680590868,0.23789335787296295,20
111,0.06087400569813326,-0.008131599053740501,0.25332924723625183,20
112,0.0663806845783256,-0.009792510420084,0.2571699619293213,20
113,0.07027599920984358,0.002820077817887068,0.24668322503566742,20
114,0.04162208880879916,-0.019158227369189262,0.11559395492076874,20
115,0.03709904903662391,-0.016628647223114967,0.20166237652301788,20
116,0.03413083159830421,-0.026642469689249992,0.17879679799079895,20
117,0.0499542387900874,-0.030061837285757065,0.24320559203624725,20
118,0.0640750260092318,-0.016869481652975082,0.3359617590904236,20
119,0.058272920385934415,-0.030743252485990524,0.21890036761760712,20
120,0.08564759629080072,-0.023547466844320297,0.3039664328098297,20
121,0.06320491911610589,-0.014059532433748245,0.24248723685741425,20
122,0.04431223776191473,-0.01095486804842949,0.25856855511665344,20
123,0.04870161977596581,-0.0012199608609080315,0.23399099707603455,20
124,0.06261069029569626,-0.012585189193487167,0.17426857352256775,20
125,0.07315996319521219,-0.0003957427106797695,0.23403944075107574,20
